user_id,track_name,artist_name,genre,source,score
12-685-2499,amazing grace,joan baez,pop,SVD,0.6812882282897457
12-685-2499,tonight,johnny mathis,pop,SVD,0.5232105071629614
12-685-2499,without you,badfinger,pop,SVD,0.38893800500132963
12-685-2499,angel,sarah mclachlan,pop,SVD,0.3624631681081089
12-685-2499,everyday,lucy pearl,pop,SVD,0.3297062106759969
12-685-2499,tomorrow,jay & the americans,pop,SVD,0.3063721017418549
12-685-2499,by my side,inxs,pop,SVD,0.28556766845803633
12-685-2499,if i could only win your love,emmylou harris,pop,SVD,0.2819585818501563
12-685-2499,new mistake,jellyfish,pop,SVD,0.262557428162879
12-685-2499,night life,roy orbison,pop,SVD,0.2603690431077832
57-659-0167,runaway,del shannon,pop,SVD,0.566078623315434
57-659-0167,lonely street,don gibson,country,SVD,0.4626785709807301
57-659-0167,i fall to pieces,patsy cline,country,SVD,0.4278383421303413
57-659-0167,the man who couldn't cry,loudon wainwright iii,country,SVD,0.4003929488069347
57-659-0167,games people play,joe south,pop,SVD,0.36678657435285866
57-659-0167,san antonio rose,carl smith,country,SVD,0.3634460767330721
57-659-0167,the old rugged cross,ray price,country,SVD,0.34698507684135765
57-659-0167,life goes on,johnny cash,country,SVD,0.3469434170265992
57-659-0167,unchained melody,harry belafonte,pop,SVD,0.3464574154717658
57-659-0167,i'll try,lefty frizzell,country,SVD,0.3342005797449849
41-168-0569,smackdown,nick wiz,hip hop,SVD,1.643822820538996
41-168-0569,runaway,del shannon,pop,SVD,1.3621836831463126
41-168-0569,soukout remix,rayess bek,hip hop,SVD,1.3593078425671927
41-168-0569,time,nancy sinatra,pop,SVD,1.2884427213232414
41-168-0569,na ma se que cantar,payo malo,hip hop,SVD,1.280154993381565
41-168-0569,freestyle,tormento,hip hop,SVD,1.223926713397811
41-168-0569,i get high,lloyd banks,hip hop,SVD,1.2189128129121876
41-168-0569,100%,sonic youth,pop,SVD,1.20460691828446
41-168-0569,get up,johnny osbourne,reggae,SVD,1.1927954607432487
41-168-0569,hip hop's cool again,oddisee,hip hop,SVD,1.171999697469448
20-492-6176,as time goes by,the flamingos,pop,SVD,1.0910971551277933
20-492-6176,you go to my head,linda ronstadt,country,SVD,0.951836344789228
20-492-6176,alone,frankie valli & the four seasons,pop,SVD,0.8990927699202117
20-492-6176,when i fall in love,johnny mathis,pop,SVD,0.8740769251605062
20-492-6176,you and i,michael bublé,pop,SVD,0.8312427034493689
20-492-6176,home,sheryl crow,pop,SVD,0.8264847998055338
20-492-6176,you must believe in spring,tony bennett,jazz,SVD,0.8154068302641929
20-492-6176,oleo,bill evans,jazz,SVD,0.8017024136800344
20-492-6176,vaya con dios,freddy fender,pop,SVD,0.7387336552292789
20-492-6176,stella by starlight,miles davis,jazz,SVD,0.725162716241838
70-494-3742,winter wonderland,johnny mathis,pop,SVD,0.44107451296755373
70-494-3742,tonight,johnny mathis,pop,SVD,0.3708503710560225
70-494-3742,johnny b. goode,chuck berry,blues,SVD,0.2622897532007184
70-494-3742,little by little,junior wells,blues,SVD,0.26203216606086094
70-494-3742,hold on,en vogue,pop,SVD,0.2501440473468527
70-494-3742,can't find my way home,blind faith,blues,SVD,0.24358679054812052
70-494-3742,how long,ace,pop,SVD,0.24319906748274647
70-494-3742,run for cover,the dells,blues,SVD,0.23714516817925085
70-494-3742,as the years go passing by,boz scaggs,country,SVD,0.22363313812116284
70-494-3742,shanalala,white denim,blues,SVD,0.22104358329436005
78-520-5212,get down,ll cool j,pop,SVD,0.7778759432873797
78-520-5212,home sweet home,peter gabriel,pop,SVD,0.7366227829688267
78-520-5212,my philosophy,boogie down productions,hip hop,SVD,0.7351945831906262
78-520-5212,yesterdays,billie holiday,blues,SVD,0.7339192837420819
78-520-5212,home,sheryl crow,pop,SVD,0.7256967240713829
78-520-5212,sometimes,badfinger,pop,SVD,0.7200308668948765
78-520-5212,indian summer,beat happening,pop,SVD,0.6845637934574453
78-520-5212,i hip hop,thundamentals,hip hop,SVD,0.6666863440091596
78-520-5212,the air that i breathe,albert hammond,pop,SVD,0.6579355492529271
78-520-5212,e.t. (extraterrestrial),outkast,pop,SVD,0.6508392558225288
04-280-3770,intro,todd rundgren,pop,SVD,0.636408686699269
04-280-3770,real hip hop,dj tomekk,hip hop,SVD,0.5691253809232322
04-280-3770,fast life,ghostface killah,hip hop,SVD,0.47110540140350027
04-280-3770,why oh why,blackface,hip hop,SVD,0.465519385018397
04-280-3770,freestyle,tormento,hip hop,SVD,0.4644160851413542
04-280-3770,this weed iz mine,snoop dogg,hip hop,SVD,0.46419211305034325
04-280-3770,this life,snoop dogg,hip hop,SVD,0.45892301462788826
04-280-3770,the rent is too damn high,armand hammer,hip hop,SVD,0.44509450542238194
04-280-3770,gangsta,"royce da 5'9""",hip hop,SVD,0.44046601503371474
04-280-3770,i get high,lloyd banks,hip hop,SVD,0.41540485577205716
07-253-6312,sunny,chris montez,pop,SVD,1.8100376414247135
07-253-6312,needles and pins,the searchers,pop,SVD,1.1262258024397016
07-253-6312,home,sheryl crow,pop,SVD,1.1175416000961367
07-253-6312,silvia,miike snow,pop,SVD,1.1016565658025408
07-253-6312,100%,sonic youth,pop,SVD,1.0944342598809897
07-253-6312,send me the pillow you dream on,loretta lynn,country,SVD,1.0446608588922646
07-253-6312,alone,frankie valli & the four seasons,pop,SVD,0.9907454200408764
07-253-6312,true love,ricky nelson,pop,SVD,0.9798922496114514
07-253-6312,hold on,en vogue,pop,SVD,0.9770168988346485
07-253-6312,smile,neil sedaka,pop,SVD,0.9704274717038999
94-589-9502,saturday night,bay city rollers,pop,SVD,0.5666651809074678
94-589-9502,cold,annie lennox,pop,SVD,0.45397544680677665
94-589-9502,use it or lose it,mötley crüe,rock,SVD,0.4214022375404033
94-589-9502,time after time,cyndi lauper,pop,SVD,0.40871184651909764
94-589-9502,alive,kenny wayne shepherd,blues,SVD,0.4008379941657778
94-589-9502,you take my breath away,minnie riperton,jazz,SVD,0.3940557205255985
94-589-9502,ahead of myself,x ambassadors,rock,SVD,0.38836635498059735
94-589-9502,useless,depeche mode,rock,SVD,0.35933690698087645
94-589-9502,palm of your hand,cake,rock,SVD,0.3489781890042412
94-589-9502,gloria,the cadillacs,blues,SVD,0.3486207012219674
54-508-4679,time after time,cyndi lauper,pop,SVD,1.1463897888953956
54-508-4679,falling in love with love,cannonball adderley,blues,SVD,1.0262850876823912
54-508-4679,you stepped out of a dream,herb ellis,jazz,SVD,0.8838883749216419
54-508-4679,piano in the dark,brenda russell,jazz,SVD,0.8199851801407914
54-508-4679,do nothin' till you hear from me,nina simone,blues,SVD,0.8182843118595592
54-508-4679,danny boy,jackie wilson,pop,SVD,0.8057166190677588
54-508-4679,blue christmas,johnny mathis,pop,SVD,0.7973325440530535
54-508-4679,you're getting to be a habit with me,doris day,jazz,SVD,0.78203672960571
54-508-4679,i wish you love,sam cooke,pop,SVD,0.7682566203731286
54-508-4679,lush life,rickie lee jones,country,SVD,0.7627836955094061
15-585-8466,paradise,bazzi,pop,SVD,1.5729945026576515
15-585-8466,changes,donovan,pop,SVD,1.5118494900902624
15-585-8466,nothing,zac brown band,country,SVD,1.1804951461356323
15-585-8466,all the things you are,dion & the belmonts,pop,SVD,1.1786804093908116
15-585-8466,money,michael jackson,pop,SVD,1.0476908405149303
15-585-8466,all the way,new order,pop,SVD,0.9822191922067247
15-585-8466,embraceable you,johnny mathis,pop,SVD,0.9658903567940713
15-585-8466,time after time,cyndi lauper,pop,SVD,0.9476400012336409
15-585-8466,house call,the shouting matches,blues,SVD,0.9317693650728944
15-585-8466,i know,fiona apple,pop,SVD,0.9151097788171149
61-446-6110,black betty,lead belly,blues,SVD,0.15190410507942312
61-446-6110,true love,ricky nelson,pop,SVD,0.12268520137996658
61-446-6110,i believe,frankie laine,pop,SVD,0.10913133804799607
61-446-6110,imagine,keb' mo',blues,SVD,0.10581732764578303
61-446-6110,how long,ace,pop,SVD,0.10221342533177877
61-446-6110,goodbye,mary hopkin,pop,SVD,0.10175313225786041
61-446-6110,johnny b. goode,chuck berry,blues,SVD,0.1005673881663909
61-446-6110,fever,madonna,pop,SVD,0.10013704115210592
61-446-6110,georgia on my mind,willie nelson,country,SVD,0.09900078703967125
61-446-6110,run for cover,the dells,blues,SVD,0.09766705457976488
91-276-2176,hop out,yung lean,hip hop,SVD,0.863641797792642
91-276-2176,intro,todd rundgren,pop,SVD,0.7144040533880313
91-276-2176,fast life,ghostface killah,hip hop,SVD,0.6412896222271722
91-276-2176,why oh why,blackface,hip hop,SVD,0.6293551086318189
91-276-2176,smackdown,nick wiz,hip hop,SVD,0.5844656798399336
91-276-2176,gangsta,"royce da 5'9""",hip hop,SVD,0.5801303799307186
91-276-2176,hop off,nnamdi ogbonnaya,hip hop,SVD,0.5531544840173498
91-276-2176,rappers on deck,aceyalone,hip hop,SVD,0.5521053022093177
91-276-2176,over 30,krs-one,hip hop,SVD,0.5318524473547613
91-276-2176,gimmie got shot,yg,hip hop,SVD,0.5213248253757027
26-717-4055,black betty,lead belly,blues,SVD,0.3272090092247098
26-717-4055,amazing grace,joan baez,pop,SVD,0.3024049588341765
26-717-4055,run for cover,the dells,blues,SVD,0.30152937326276935
26-717-4055,lies,nancy sinatra,pop,SVD,0.27488922877606686
26-717-4055,since i fell for you,fontella bass,pop,SVD,0.25064368891729644
26-717-4055,blue skies,les paul,pop,SVD,0.24459935576417383
26-717-4055,the river,tim buckley,country,SVD,0.23767247453861745
26-717-4055,i know,fiona apple,pop,SVD,0.2173884732785447
26-717-4055,turnin on the screw,queens of the stone age,blues,SVD,0.2048526549553218
26-717-4055,walking away,information society,pop,SVD,0.1991253273781736
57-554-3247,runaway,del shannon,pop,SVD,0.4840634983256148
57-554-3247,amazing grace,joan baez,pop,SVD,0.3532706809684118
57-554-3247,got you on my mind,bonnie raitt,pop,SVD,0.33487064541358047
57-554-3247,unchained melody,harry belafonte,pop,SVD,0.30997161977092647
57-554-3247,i fall to pieces,patsy cline,country,SVD,0.30429718184988713
57-554-3247,night life,roy orbison,pop,SVD,0.3030683413344308
57-554-3247,life goes on,johnny cash,country,SVD,0.30300808073310903
57-554-3247,if i were you,the judds,country,SVD,0.2991573736008375
57-554-3247,there stands the glass,conway twitty,country,SVD,0.2978923643644998
57-554-3247,i'll try,lefty frizzell,country,SVD,0.2788342464865931
26-888-4563,home,sheryl crow,pop,SVD,0.65503530540055
26-888-4563,san antonio rose,carl smith,country,SVD,0.6424924827149648
26-888-4563,amazing grace,joan baez,pop,SVD,0.6286043741382537
26-888-4563,goodbye,mary hopkin,pop,SVD,0.5592206020058151
26-888-4563,runaway,del shannon,pop,SVD,0.5062189574814495
26-888-4563,tonight,johnny mathis,pop,SVD,0.4640825190539098
26-888-4563,night life,roy orbison,pop,SVD,0.45526507707783104
26-888-4563,good times,sam cooke,pop,SVD,0.4385899211274475
26-888-4563,born to lose,don gibson,country,SVD,0.43132280654599314
26-888-4563,in the jailhouse now,willie nelson,country,SVD,0.40135309411988335
71-426-2861,hold on,en vogue,pop,SVD,0.15493023172248643
71-426-2861,winter wonderland,johnny mathis,pop,SVD,0.15197877560699155
71-426-2861,tonight,johnny mathis,pop,SVD,0.14922582846317414
71-426-2861,run for cover,the dells,blues,SVD,0.13232254387095066
71-426-2861,how long,ace,pop,SVD,0.12933792383483814
71-426-2861,since i fell for you,fontella bass,pop,SVD,0.11681735936308653
71-426-2861,midnight blues,the ravens,blues,SVD,0.1156116302845963
71-426-2861,johnny b. goode,chuck berry,blues,SVD,0.1111637658454181
71-426-2861,black betty,lead belly,blues,SVD,0.11057831537057491
71-426-2861,can't find my way home,blind faith,blues,SVD,0.1102775431724993
72-599-8541,money,michael jackson,pop,SVD,0.6342543562745648
72-599-8541,hold on,en vogue,pop,SVD,0.5267894344799667
72-599-8541,too hot,dennis brown,reggae,SVD,0.3443740448023153
72-599-8541,nail pon cross,damian marley,reggae,SVD,0.33597913839371274
72-599-8541,good thing going,aaron watson,country,SVD,0.32343958994583316
72-599-8541,don't kill the magic,magic!,reggae,SVD,0.31813151747906454
72-599-8541,school of dub,jah shaka,reggae,SVD,0.3044160061615744
72-599-8541,romans,black slate,reggae,SVD,0.30085427896905115
72-599-8541,jah (live),lucky dube,reggae,SVD,0.29507854705741543
